Date,ExchangeRate,KRX100,KORIBOR,LIBOR,달러지수 (종가),콜금리,KOSPI
2014.01.02,1.055,4.264,2.78,0.0956,80.79,2.51,1.967
2014.01.03,1.050,4.209,2.78,0.095,80.96,2.5,1.946
2014.01.06,1.054,4.221,2.77,0.0945,80.81,2.48,1.953
2014.01.07,1.062,4.233,2.75,0.0926,80.98,2.5,1.959
2014.01.08,1.067,4.232,2.75,0.0925,81.16,2.49,1.959
2014.01.09,1.066,4.199,2.74,0.0919,81.14,2.49,1.946
2014.01.10,1.064,4.175,2.73,0.0918,80.75,2.5,1.939
2014.01.13,1.062,4.197,2.74,0.0921,80.61,2.49,1.949
2014.01.14,1.056,4.189,2.74,0.0921,80.76,2.49,1.946
2014.01.15,1.058,4.207,2.74,0.09,81.14,2.49,1.953
2014.01.16,1.062,4.216,2.75,0.0896,81.02,2.49,1.957
2014.01.17,1.064,4.183,2.75,0.0886,81.36,2.49,1.944
2014.01.20,1.061,4.200,2.74,0,81.36,2.49,1.954
2014.01.21,1.063,4.225,2.74,0.0896,81.23,2.49,1.964
2014.01.22,1.064,4.238,2.75,0.0901,81.31,2.5,1.970
2014.01.23,1.068,4.189,2.75,0.0898,80.53,2.5,1.948
2014.01.24,1.071,4.168,2.74,0.0887,80.54,2.5,1.941
2014.01.27,1.077,4.098,2.75,0.0866,80.61,2.52,1.910
2014.01.28,1.084,4.121,2.76,0.0851,80.66,2.52,1.917
2014.01.29,1.079,4.175,2.75,0.0847,80.58,2.51,1.941
2014.02.03,1.071,4.121,2.75,0.0855,81.11,2.47,1.920
2014.02.04,1.082,4.044,2.75,0.085,81.22,2.48,1.887
2014.02.05,1.086,4.063,2.75,0.085,81.13,2.48,1.891
2014.02.06,1.079,4.102,2.75,0.085,81,2.49,1.908
2014.02.07,1.076,4.128,2.75,0.0856,80.76,2.49,1.923
2014.02.10,1.075,4.125,2.74,0.0856,80.73,2.49,1.923
2014.02.11,1.071,4.134,2.74,0.085,80.7,2.49,1.932
2014.02.12,1.072,4.143,2.74,0.0865,80.74,2.49,1.936
2014.02.13,1.064,4.124,2.74,0.086,80.38,2.49,1.927
2014.02.14,1.063,4.153,2.74,0.0856,80.18,2.49,1.940
2014.02.17,1.061,4.175,2.74,0,80.18,2.49,1.946
2014.02.18,1.060,4.174,2.75,0.084,80.05,2.49,1.947
2014.02.19,1.064,4.164,2.74,0.0861,80.19,2.49,1.943
2014.02.20,1.067,4.125,2.74,0.0865,80.32,2.49,1.931
2014.02.21,1.071,4.189,2.75,0.0865,80.27,2.49,1.958
2014.02.24,1.073,4.168,2.75,0.0874,80.23,2.49,1.949
2014.02.25,1.076,4.206,2.75,0.0876,80.17,2.49,1.965
2014.02.26,1.070,4.223,2.74,0.0882,80.46,2.47,1.971
2014.02.27,1.069,4.243,2.74,0.0887,80.31,2.48,1.978
2014.02.28,1.067,4.241,2.73,0.09,79.72,2.49,1.980
2014.03.03,1.066,4.213,2.73,0.0878,80.09,2.49,1.965
2014.03.04,1.071,4.185,2.74,0.0883,80.18,2.5,1.954
2014.03.05,1.072,4.223,2.75,0.0879,80.12,2.49,1.971
2014.03.06,1.070,4.229,2.75,0.0876,79.67,2.49,1.976
2014.03.07,1.067,4.218,2.75,0.0877,79.72,2.49,1.975
2014.03.10,1.062,4.173,2.74,0.0901,79.77,2.48,1.954
2014.03.11,1.065,4.188,2.74,0.0885,79.74,2.48,1.964
2014.03.12,1.064,4.118,2.74,0.0889,79.61,2.48,1.933
2014.03.13,1.069,4.116,2.74,0.0879,79.63,2.48,1.934
2014.03.14,1.067,4.085,2.73,0.0878,79.44,2.47,1.920
2014.03.17,1.072,4.109,2.72,0.0886,79.31,2.48,1.928
2014.03.18,1.069,4.135,2.73,0.0885,79.54,2.47,1.940
2014.03.19,1.067,4.129,2.73,0.089,80.13,2.46,1.938
2014.03.20,1.070,4.081,2.73,0.0885,80.35,2.46,1.920
2014.03.21,1.075,4.115,2.73,0.0905,80.26,2.45,1.935
2014.03.24,1.080,4.145,2.74,0.0903,80.08,2.46,1.946
2014.03.25,1.079,4.139,2.74,0.0904,80.09,2.48,1.941
2014.03.26,1.078,4.195,2.74,0.0903,80.17,2.48,1.964
2014.03.27,1.075,4.218,2.74,0.0908,80.25,2.48,1.978
2014.03.28,1.072,4.219,2.74,0.0899,80.34,2.48,1.981
2014.03.31,1.068,4.232,2.74,0.0855,80.25,2.49,1.986
2014.04.01,1.066,4.250,2.74,0.0884,80.25,2.48,1.992
2014.04.02,1.060,4.258,2.74,0.0874,80.37,2.48,1.997
2014.04.03,1.057,4.240,2.74,0.0881,80.64,2.48,1.994
2014.04.04,1.058,4.241,2.73,0.0884,80.57,2.48,1.988
2014.04.07,1.056,4.246,2.72,0.0865,80.36,2.49,1.990
2014.04.08,1.053,4.260,2.72,0.0885,79.84,2.51,1.993
2014.04.09,1.053,4.280,2.72,0.0886,79.55,2.5,1.999
2014.04.10,1.043,4.298,2.71,0.0885,79.45,2.48,2.009
2014.04.11,1.036,4.272,2.71,0.087,79.52,2.48,1.997
2014.04.14,1.037,4.269,2.72,0.087,79.81,2.48,1.997
2014.04.15,1.038,4.255,2.72,0.088,79.89,2.48,1.992
2014.04.16,1.041,4.251,2.72,0.0907,79.88,2.48,1.992
2014.04.17,1.041,4.251,2.72,0.0905,79.9,2.48,1.992
2014.04.18,1.037,4.285,2.73,0,0,2.48,2.004
2014.04.21,1.037,4.272,2.73,0,80.03,2.49,1.999
2014.04.22,1.037,4.284,2.73,0.0915,80,2.5,2.004
2014.04.23,1.039,4.272,2.74,0.0898,79.94,2.49,2.000
2014.04.24,1.039,4.266,2.75,0.0889,79.88,2.49,1.998
2014.04.25,1.038,4.200,2.75,0.0897,79.82,2.5,1.972
2014.04.28,1.038,4.191,2.74,0.0895,79.76,2.49,1.969
2014.04.29,1.037,4.181,2.75,0.0882,79.88,2.49,1.965
2014.04.30,1.031,4.178,2.75,0.0876,79.53,2.5,1.962
2014.05.02,1.032,4.173,2.74,0.0885,79.56,2.5,1.959
2014.05.07,1.031,4.125,2.73,0.0891,79.24,2.48,1.940
2014.05.08,1.025,4.152,2.73,0.0885,79.4,2.49,1.951
2014.05.09,1.023,4.163,2.73,0.0886,79.96,2.48,1.957
2014.05.12,1.023,4.175,2.73,0.0894,79.97,2.49,1.965
2014.05.13,1.025,4.216,2.72,0.0898,80.21,2.49,1.983
2014.05.14,1.022,4.288,2.72,0.0879,80.14,2.5,2.011
2014.05.15,1.024,4.291,2.72,0.0893,80.06,2.49,2.010
2014.05.16,1.026,4.296,2.72,0.0884,80.11,2.49,2.013
2014.05.19,1.025,4.297,2.72,0.0875,80.05,2.49,2.015
2014.05.20,1.022,4.288,2.72,0.0879,80.09,2.49,2.011
2014.05.21,1.024,4.277,2.72,0.088,80.15,2.49,2.008
2014.05.22,1.026,4.298,2.72,0.0883,80.31,2.49,2.016
2014.05.23,1.025,4.299,2.73,0.0877,80.45,2.49,2.017
2014.05.26,1.024,4.279,2.73,0,80.45,2.49,2.010
2014.05.27,1.023,4.248,2.73,0.0884,80.41,2.48,1.998
2014.05.28,1.023,4.287,2.72,0.0885,80.62,2.48,2.017
2014.05.29,1.022,4.270,2.72,0.0875,80.54,2.49,2.012
2014.05.30,1.021,4.228,2.72,0.0866,80.4,2.49,1.995
2014.06.02,1.020,4.253,2.72,0.089,80.69,2.48,2.002
2014.06.03,1.023,4.266,2.72,0.088,80.59,2.48,2.009
2014.06.05,1.024,4.240,2.72,0.0925,80.4,2.48,1.995
2014.06.09,1.022,4.241,2.72,0.0901,80.68,2.48,1.990
2014.06.10,1.017,4.287,2.72,0.0893,80.85,2.49,2.012
2014.06.11,1.016,4.292,2.71,0.0888,80.81,2.49,2.015
2014.06.12,1.016,4.283,2.71,0.0919,80.59,2.48,2.012
2014.06.13,1.017,4.237,2.71,0.0922,80.66,2.48,1.991
2014.06.16,1.018,4.249,2.69,0.0921,80.47,2.48,1.994
2014.06.17,1.019,4.267,2.68,0.094,80.72,2.47,2.002
2014.06.18,1.022,4.237,2.68,0.096,80.67,2.48,1.989
2014.06.19,1.023,4.247,2.68,0.095,80.4,2.48,1.992
2014.06.20,1.018,4.189,2.68,0.0955,80.44,2.48,1.968
2014.06.23,1.019,4.213,2.67,0.0953,80.34,2.48,1.975
2014.06.24,1.018,4.261,2.67,0.096,80.39,2.48,1.994
2014.06.25,1.018,4.239,2.67,0.0955,80.27,2.49,1.982
2014.06.26,1.020,4.270,2.68,0.0962,80.28,2.49,1.995
2014.06.27,1.017,4.251,2.68,0.0966,80.09,2.48,1.989
2014.06.30,1.014,4.278,2.68,0.0936,79.81,2.49,2.002
2014.07.01,1.012,4.268,2.67,0.095,79.85,2.48,1.999
2014.07.02,1.011,4.301,2.66,0.0959,79.99,2.48,2.015
2014.07.03,1.009,4.281,2.64,0.0954,80.28,2.48,2.011
2014.07.04,1.009,4.275,2.63,0,80.28,2.48,2.010
2014.07.07,1.008,4.270,2.62,0.0945,80.27,2.48,2.005
2014.07.08,1.009,4.265,2.62,0.0941,80.22,2.48,2.007
2014.07.09,1.011,4.241,2.62,0.0942,80.04,2.5,2.001
2014.07.10,1.012,4.248,2.61,0.094,80.17,2.48,2.003
2014.07.11,1.011,4.207,2.6,0.0939,80.23,2.48,1.989
2014.07.14,1.018,4.214,2.6,0.0934,80.23,2.48,1.994
2014.07.15,1.018,4.265,2.6,0.0942,80.45,2.48,2.013
2014.07.16,1.023,4.273,2.59,0.0924,80.63,2.48,2.013
2014.07.17,1.032,4.287,2.57,0.0925,80.57,2.49,2.021
2014.07.18,1.029,4.278,2.55,0.093,80.6,2.48,2.019
2014.07.21,1.031,4.272,2.53,0.0915,80.63,2.48,2.019
2014.07.22,1.027,4.294,2.53,0.0925,80.87,2.48,2.029
2014.07.23,1.024,4.290,2.52,0.092,80.92,2.49,2.028
2014.07.24,1.022,4.289,2.52,0.0913,80.96,2.49,2.027
2014.07.25,1.028,4.303,2.51,0.0915,81.13,2.49,2.034
2014.07.28,1.029,4.344,2.51,0.0907,81.12,2.5,2.049
2014.07.29,1.025,4.385,2.5,0.0911,81.32,2.5,2.062
2014.07.30,1.024,4.443,2.5,0.091,81.52,2.5,2.083
2014.07.31,1.024,4.425,2.5,0.0865,81.52,2.49,2.076
2014.08.01,1.026,4.419,2.5,0.0899,81.38,2.48,2.073
2014.08.04,1.033,4.432,2.5,0.0905,81.41,2.48,2.080
2014.08.05,1.031,4.398,2.49,0.0899,81.61,2.48,2.066
2014.08.06,1.030,4.383,2.49,0.0899,81.51,2.49,2.061
2014.08.07,1.034,4.370,2.49,0.0895,81.61,2.49,2.055
2014.08.08,1.034,4.316,2.48,0.0895,81.45,2.49,2.031
2014.08.11,1.037,4.333,2.48,0.0902,81.54,2.49,2.039
2014.08.12,1.030,4.335,2.47,0.0901,81.56,2.49,2.041
2014.08.13,1.028,4.381,2.48,0.0903,81.66,2.49,2.062
2014.08.14,1.028,4.381,2.41,0.0911,81.65,2.24,2.063
2014.08.18,1.024,4.353,2.4,0.0914,81.63,2.24,2.053
2014.08.19,1.017,4.394,2.41,0.0919,81.94,2.24,2.071
2014.08.20,1.018,4.397,2.41,0.0911,82.28,2.23,2.073
2014.08.21,1.020,4.326,2.41,0.092,82.21,2.23,2.044
2014.08.22,1.023,4.354,2.41,0.0919,82.38,2.23,2.057
2014.08.25,1.019,4.361,2.41,0,82.59,2.24,2.061
2014.08.26,1.020,4.375,2.41,0.092,82.68,2.23,2.068
2014.08.27,1.018,4.386,2.41,0.092,82.45,2.23,2.075
2014.08.28,1.014,4.390,2.41,0.0915,82.52,2.23,2.076
2014.08.29,1.013,4.382,2.41,0.0895,82.78,2.24,2.069
2014.09.01,1.014,4.383,2.41,0,82.78,2.23,2.068
2014.09.02,1.014,4.343,2.4,0.0905,83.01,2.23,2.052
2014.09.03,1.015,4.341,2.39,0.0905,82.89,2.24,2.051
2014.09.04,1.018,4.355,2.41,0.091,83.83,2.25,2.056
2014.09.05,1.018,4.332,2.41,0.091,83.76,2.25,2.049
2014.09.11,1.024,4.294,2.39,0.0906,84.3,2.23,2.034
2014.09.12,1.034,4.323,2.4,0.091,84.24,2.23,2.042
2014.09.15,1.038,4.304,2.37,0.091,84.25,2.23,2.036
2014.09.16,1.038,4.315,2.36,0.091,84.23,2.23,2.043
2014.09.17,1.035,4.356,2.34,0.091,84.49,2.23,2.063
2014.09.18,1.033,4.318,2.32,0.0907,84.43,2.23,2.048
2014.09.19,1.041,4.325,2.32,0.0912,84.87,2.23,2.054
2014.09.22,1.044,4.294,2.31,0.0903,84.86,2.23,2.039
2014.09.23,1.040,4.270,2.3,0.0909,84.78,2.23,2.029
2014.09.24,1.042,4.276,2.29,0.0908,85.16,2.24,2.036
2014.09.25,1.039,4.265,2.29,0.0908,85.3,2.24,2.034
2014.09.26,1.042,4.256,2.29,0.0905,85.77,2.23,2.032
2014.09.29,1.042,4.249,2.3,0.0905,85.72,2.24,2.027
2014.09.30,1.050,4.233,2.3,0.0808,86.05,2.24,2.020
2014.10.01,1.054,4.171,2.29,0.0908,86.08,2.24,1.992
